ubigeoReniec,department,province,district,region,status
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,A
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,AMAZONAS,A
10103,AMAZONAS,CHACHAPOYAS,BALSAS,AMAZONAS,A
10104,AMAZONAS,CHACHAPOYAS,CHETO,AMAZONAS,A
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,AMAZONAS,A
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AMAZONAS,A
10107,AMAZONAS,CHACHAPOYAS,GRANADA,AMAZONAS,A
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,AMAZONAS,A
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,AMAZONAS,A
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,AMAZONAS,A
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,AMAZONAS,A
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,AMAZONAS,A
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONAS,A
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,AMAZONAS,A
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,AMAZONAS,A
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,AMAZONAS,A
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,AMAZONAS,A
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,AMAZONAS,A
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,AMAZONAS,A
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,AMAZONAS,A
10121,AMAZONAS,CHACHAPOYAS,SONCHE,AMAZONAS,A
10205,AMAZONAS,BAGUA,BAGUA,AMAZONAS,A
10202,AMAZONAS,BAGUA,ARAMANGO,AMAZONAS,A
10203,AMAZONAS,BAGUA,COPALLIN,AMAZONAS,A
10204,AMAZONAS,BAGUA,EL PARCO,AMAZONAS,A
10206,AMAZONAS,BAGUA,IMAZA,AMAZONAS,A
10201,AMAZONAS,BAGUA,LA PECA,AMAZONAS,A
10301,AMAZONAS,BONGARA,JUMBILLA,AMAZONAS,A
10304,AMAZONAS,BONGARA,CHISQUILLA,AMAZONAS,A
10305,AMAZONAS,BONGARA,CHURUJA,AMAZONAS,A
10302,AMAZONAS,BONGARA,COROSHA,AMAZONAS,A
10303,AMAZONAS,BONGARA,CUISPES,AMAZONAS,A
10306,AMAZONAS,BONGARA,FLORIDA,AMAZONAS,A
10312,AMAZONAS,BONGARA,JAZAN,AMAZONAS,A
10307,AMAZONAS,BONGARA,RECTA,AMAZONAS,A
10308,AMAZONAS,BONGARA,SAN CARLOS,AMAZONAS,A
10309,AMAZONAS,BONGARA,SHIPASBAMBA,AMAZONAS,A
10310,AMAZONAS,BONGARA,VALERA,AMAZONAS,A
10311,AMAZONAS,BONGARA,YAMBRASBAMBA,AMAZONAS,A
10601,AMAZONAS,CONDORCANQUI,NIEVA,AMAZONAS,A
10603,AMAZONAS,CONDORCANQUI,EL CENEPA,AMAZONAS,A
10602,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,AMAZONAS,A
10401,AMAZONAS,LUYA,LAMUD,AMAZONAS,A
10402,AMAZONAS,LUYA,CAMPORREDONDO,AMAZONAS,A
10403,AMAZONAS,LUYA,COCABAMBA,AMAZONAS,A
10404,AMAZONAS,LUYA,COLCAMAR,AMAZONAS,A
10405,AMAZONAS,LUYA,CONILA,AMAZONAS,A
10406,AMAZONAS,LUYA,INGUILPATA,AMAZONAS,A
10407,AMAZONAS,LUYA,LONGUITA,AMAZONAS,A
10408,AMAZONAS,LUYA,LONYA CHICO,AMAZONAS,A
10409,AMAZONAS,LUYA,LUYA,AMAZONAS,A
10410,AMAZONAS,LUYA,LUYA VIEJO,AMAZONAS,A
10411,AMAZONAS,LUYA,MARIA,AMAZONAS,A
10412,AMAZONAS,LUYA,OCALLI,AMAZONAS,A
10413,AMAZONAS,LUYA,OCUMAL,AMAZONAS,A
10414,AMAZONAS,LUYA,PISUQUIA,AMAZONAS,A
10423,AMAZONAS,LUYA,PROVIDENCIA,AMAZONAS,A
10415,AMAZONAS,LUYA,SAN CRISTOBAL,AMAZONAS,A
10416,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,AMAZONAS,A
10417,AMAZONAS,LUYA,SAN JERONIMO,AMAZONAS,A
10418,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,AMAZONAS,A
10419,AMAZONAS,LUYA,SANTA CATALINA,AMAZONAS,A
10420,AMAZONAS,LUYA,SANTO TOMAS,AMAZONAS,A
10421,AMAZONAS,LUYA,TINGO,AMAZONAS,A
10422,AMAZONAS,LUYA,TRITA,AMAZONAS,A
10501,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,AMAZONAS,A
10503,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,AMAZONAS,A
10502,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,AMAZONAS,A
10504,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,AMAZONAS,A
10505,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,AMAZONAS,A
10506,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,AMAZONAS,A
10508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,AMAZONAS,A
10507,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,AMAZONAS,A
10509,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,AMAZONAS,A
10510,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,AMAZONAS,A
10511,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,AMAZONAS,A
10512,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,AMAZONAS,A
10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,AMAZONAS,A
